Linux 5.15.0-122-generic (gl5) 	11/25/2024 	_x86_64_	(32 CPU)

11:55:05 AM     CPU       MHz
11:55:10 AM     all   2587.42
11:55:15 AM     all   2720.18
11:55:20 AM     all   2893.71
11:55:25 AM     all   2696.86
11:55:30 AM     all   2784.30
11:55:35 AM     all   2370.78
11:55:40 AM     all   2696.83
11:55:45 AM     all   2587.49
11:55:50 AM     all   2784.37
11:55:55 AM     all   2674.99
11:56:00 AM     all   2762.49
11:56:05 AM     all   2828.12
Average:        all   2698.96
