Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

01:42:22 PM     CPU       MHz
01:42:27 PM     all   2482.87
01:42:32 PM     all   3002.84
01:42:37 PM     all   3055.34
01:42:42 PM     all   3098.94
01:42:47 PM     all   1600.27
01:42:52 PM     all   2973.28
01:42:57 PM     all   2653.93
01:43:02 PM     all   2526.95
01:43:07 PM     all   2526.86
01:43:12 PM     all   2721.13
01:43:17 PM     all   3089.60
01:43:22 PM     all   3118.52
01:43:27 PM     all   2049.50
01:43:32 PM     all   2406.04
01:43:37 PM     all   2442.54
01:43:42 PM     all   2541.70
01:43:47 PM     all   2934.08
01:43:52 PM     all   3104.36
01:43:57 PM     all   2722.63
01:44:02 PM     all   1660.06
01:44:07 PM     all   2543.80
01:44:12 PM     all   2522.24
01:44:17 PM     all   3126.64
01:44:22 PM     all   2649.70
01:44:27 PM     all   2202.36
Average:        all   2630.25
