Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:37:52 PM     CPU       MHz
05:37:57 PM     all   2806.21
05:38:02 PM     all   3060.70
05:38:07 PM     all   2743.21
05:38:12 PM     all   2742.21
05:38:17 PM     all   2525.83
05:38:22 PM     all   2568.83
05:38:27 PM     all   3074.09
05:38:32 PM     all   3027.81
05:38:37 PM     all   3120.58
05:38:42 PM     all   3126.80
05:38:47 PM     all   2589.17
05:38:52 PM     all   2501.96
05:38:57 PM     all   3103.37
Average:        all   2845.44
