Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:01:55 PM     CPU       MHz
05:02:00 PM     all   2508.76
05:02:05 PM     all   2521.87
05:02:10 PM     all   2499.99
05:02:15 PM     all   2499.99
05:02:20 PM     all   2499.99
05:02:25 PM     all   2499.99
05:02:30 PM     all   2499.99
05:02:35 PM     all   2499.99
05:02:40 PM     all   2499.99
05:02:45 PM     all   2521.87
05:02:50 PM     all   2499.99
05:02:55 PM     all   2499.99
05:03:00 PM     all   2740.62
Average:        all   2522.54
