Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

06:18:13 PM     CPU       MHz
06:18:18 PM     all    799.99
06:18:23 PM     all    799.99
06:18:28 PM     all    799.99
06:18:33 PM     all    799.99
06:18:38 PM     all    799.99
06:18:43 PM     all    799.99
06:18:48 PM     all    799.99
06:18:53 PM     all    799.99
06:18:58 PM     all    799.99
06:19:03 PM     all    799.99
06:19:08 PM     all    799.99
06:19:13 PM     all    799.99
06:19:18 PM     all    799.99
06:19:23 PM     all    799.99
06:19:28 PM     all    799.99
06:19:33 PM     all    799.99
06:19:38 PM     all    799.99
06:19:43 PM     all    799.99
06:19:48 PM     all    799.99
06:19:53 PM     all    799.99
06:19:58 PM     all    799.99
06:20:03 PM     all    799.99
06:20:08 PM     all    799.99
06:20:13 PM     all    799.99
06:20:18 PM     all    799.99
Average:        all    799.99
