Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:29:24 PM     CPU       MHz
04:29:29 PM     all   2502.00
04:29:34 PM     all   2249.54
04:29:39 PM     all   2330.47
04:29:44 PM     all   2186.53
04:29:49 PM     all   1573.30
04:29:54 PM     all   2234.03
04:29:59 PM     all   1909.89
04:30:04 PM     all   1755.92
04:30:09 PM     all   2152.65
04:30:14 PM     all   2504.93
04:30:19 PM     all   1371.20
04:30:24 PM     all   2433.45
04:30:29 PM     all    966.03
Average:        all   2013.07
