Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:32:34 PM     CPU       MHz
04:32:39 PM     all   2509.82
04:32:44 PM     all   2499.99
04:32:49 PM     all   2499.99
04:32:54 PM     all   2499.99
04:32:59 PM     all   2499.99
04:33:04 PM     all   2499.99
04:33:09 PM     all   2543.74
04:33:14 PM     all   2499.99
04:33:19 PM     all   2499.99
04:33:24 PM     all   2499.99
04:33:29 PM     all   2499.99
04:33:34 PM     all   2499.99
04:33:39 PM     all   2649.98
Average:        all   2515.65
