Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:26:21 PM     CPU       MHz
05:26:26 PM     all   2482.40
05:26:31 PM     all   2499.99
05:26:36 PM     all   2499.89
05:26:41 PM     all   2521.87
05:26:46 PM     all   2499.99
05:26:51 PM     all   2499.99
05:26:56 PM     all   2499.99
05:27:01 PM     all   2521.87
05:27:06 PM     all   2499.99
05:27:11 PM     all   2499.99
05:27:16 PM     all   2499.96
05:27:21 PM     all   2499.99
05:27:26 PM     all   2480.32
Average:        all   2500.48
