Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

01:13:38 PM     CPU       MHz
01:13:43 PM     all    799.99
01:13:48 PM     all    799.99
01:13:53 PM     all    799.99
01:13:58 PM     all    799.99
01:14:03 PM     all    799.99
01:14:08 PM     all    799.99
01:14:13 PM     all    799.99
01:14:18 PM     all    799.99
01:14:23 PM     all    799.99
01:14:28 PM     all    799.99
01:14:33 PM     all    799.99
01:14:38 PM     all    799.99
01:14:43 PM     all    799.99
01:14:48 PM     all    799.99
01:14:53 PM     all    799.99
01:14:58 PM     all    799.99
01:15:03 PM     all    799.99
01:15:08 PM     all    799.99
01:15:13 PM     all    799.99
01:15:18 PM     all    799.99
01:15:23 PM     all    799.99
01:15:28 PM     all    799.99
01:15:33 PM     all    799.99
01:15:38 PM     all    799.99
01:15:43 PM     all    799.99
Average:        all    799.99
