Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

03:56:03 PM     CPU       MHz
03:56:08 PM     all    799.99
03:56:13 PM     all    799.99
03:56:18 PM     all    799.99
03:56:23 PM     all    799.99
03:56:28 PM     all    799.99
03:56:33 PM     all    799.99
03:56:38 PM     all    799.99
03:56:43 PM     all    799.99
03:56:48 PM     all    799.99
03:56:53 PM     all    799.99
03:56:58 PM     all    799.99
03:57:03 PM     all    799.99
03:57:08 PM     all    799.99
03:57:13 PM     all    799.99
03:57:18 PM     all    799.99
03:57:23 PM     all    799.99
03:57:28 PM     all    799.99
03:57:33 PM     all    799.99
03:57:38 PM     all    799.99
03:57:43 PM     all    799.99
03:57:48 PM     all    799.99
03:57:53 PM     all    799.99
03:57:58 PM     all    799.99
03:58:03 PM     all    799.99
03:58:08 PM     all    799.99
Average:        all    799.99
