Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

03:14:39 PM     CPU       MHz
03:14:44 PM     all   2522.41
03:14:49 PM     all   2565.62
03:14:54 PM     all   2499.99
03:14:59 PM     all   2499.99
03:15:04 PM     all   2499.99
03:15:09 PM     all   2499.99
03:15:14 PM     all   2498.95
03:15:19 PM     all   2499.99
03:15:24 PM     all   2499.99
03:15:29 PM     all   2499.99
03:15:34 PM     all   2499.99
03:15:39 PM     all   2499.98
03:15:44 PM     all   2653.12
Average:        all   2518.46
