Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

03:53:51 PM     CPU       MHz
03:53:56 PM     all    799.99
03:54:01 PM     all    799.99
03:54:06 PM     all    799.99
03:54:11 PM     all    799.99
03:54:16 PM     all    799.99
03:54:21 PM     all    799.99
03:54:26 PM     all    799.99
03:54:31 PM     all    799.99
03:54:36 PM     all    799.99
03:54:41 PM     all    799.99
03:54:46 PM     all    799.99
03:54:51 PM     all    799.99
03:54:56 PM     all    799.99
Average:        all    799.99
