Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

05:09:56 PM     CPU       MHz
05:10:01 PM     all   2499.99
05:10:06 PM     all   2499.99
05:10:11 PM     all   2499.99
05:10:16 PM     all   2499.99
05:10:21 PM     all   2499.99
05:10:26 PM     all   2499.99
05:10:31 PM     all   2499.99
05:10:36 PM     all   2499.99
05:10:41 PM     all   2499.99
05:10:46 PM     all   2499.99
05:10:51 PM     all   2499.99
05:10:56 PM     all   2499.99
05:11:01 PM     all   2499.99
05:11:06 PM     all   2499.99
05:11:11 PM     all   2499.99
05:11:16 PM     all   2499.99
05:11:21 PM     all   2499.99
05:11:26 PM     all   2499.99
05:11:31 PM     all   2499.99
05:11:36 PM     all   2499.99
05:11:41 PM     all   2499.99
05:11:46 PM     all   2499.99
05:11:51 PM     all   2499.99
05:11:56 PM     all   2521.86
05:12:01 PM     all   2521.98
Average:        all   2501.74
