Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

03:16:31 PM     CPU       MHz
03:16:36 PM     all   2624.99
03:16:41 PM     all   2628.11
03:16:46 PM     all   2757.58
03:16:51 PM     all   2304.95
03:16:56 PM     all   2666.48
03:17:01 PM     all   2402.26
03:17:06 PM     all   2213.70
03:17:11 PM     all   2302.69
03:17:16 PM     all   1936.45
03:17:21 PM     all   2495.39
03:17:26 PM     all   1245.80
03:17:31 PM     all   2443.17
03:17:36 PM     all   2462.29
03:17:41 PM     all   2116.89
03:17:46 PM     all   2169.52
03:17:51 PM     all   1954.67
03:17:56 PM     all   2360.04
03:18:01 PM     all   2275.18
03:18:06 PM     all   2575.11
03:18:11 PM     all   2455.80
03:18:16 PM     all   2045.40
03:18:21 PM     all   2337.77
03:18:26 PM     all   2443.98
03:18:31 PM     all    932.62
03:18:36 PM     all    928.42
Average:        all   2203.17
