Linux 5.15.0-122-generic (gl5) 	11/28/2024 	_x86_64_	(32 CPU)

10:35:12 PM     CPU       MHz
10:35:17 PM     all    799.99
10:35:22 PM     all    799.99
10:35:27 PM     all    799.99
10:35:32 PM     all    799.99
10:35:37 PM     all    799.99
10:35:42 PM     all    799.99
10:35:47 PM     all    799.99
10:35:52 PM     all    799.99
10:35:57 PM     all    799.99
10:36:02 PM     all    799.99
10:36:07 PM     all    799.99
10:36:12 PM     all    799.99
10:36:17 PM     all    800.00
Average:        all    799.99
