Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

03:47:21 PM     CPU       MHz
03:47:26 PM     all    799.99
03:47:31 PM     all    799.99
03:47:36 PM     all    799.99
03:47:41 PM     all    799.99
03:47:46 PM     all    799.99
03:47:51 PM     all    799.99
03:47:56 PM     all    799.99
03:48:01 PM     all    799.99
03:48:06 PM     all    799.99
03:48:11 PM     all    799.99
03:48:16 PM     all    799.99
03:48:21 PM     all    799.99
03:48:26 PM     all    799.99
03:48:31 PM     all    799.99
03:48:36 PM     all    799.99
03:48:41 PM     all    799.99
03:48:46 PM     all    799.99
03:48:51 PM     all    799.99
03:48:56 PM     all    799.99
03:49:01 PM     all    799.99
03:49:06 PM     all    799.99
03:49:11 PM     all    799.99
03:49:16 PM     all    799.99
03:49:21 PM     all    799.99
03:49:26 PM     all    799.99
Average:        all    799.99
