Linux 5.15.0-122-generic (gl5) 	11/25/2024 	_x86_64_	(32 CPU)

12:10:32 PM     CPU       MHz
12:10:37 PM     all   2521.86
12:10:42 PM     all   2499.99
12:10:47 PM     all   2499.99
12:10:52 PM     all   2499.99
12:10:57 PM     all   2499.99
12:11:02 PM     all   2499.99
12:11:07 PM     all   2499.74
12:11:12 PM     all   2499.99
12:11:17 PM     all   2499.99
12:11:22 PM     all   2499.99
12:11:27 PM     all   2499.99
12:11:32 PM     all   2499.99
Average:        all   2501.79
