Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:11:05 PM     CPU       MHz
12:11:10 PM     all   2543.74
12:11:15 PM     all   2521.86
12:11:20 PM     all   2499.99
12:11:25 PM     all   2521.86
12:11:30 PM     all   2718.75
12:11:35 PM     all   3018.70
12:11:40 PM     all   2521.86
12:11:45 PM     all   2609.37
12:11:50 PM     all   2655.37
12:11:55 PM     all   2916.61
12:12:00 PM     all   3139.88
12:12:05 PM     all   2873.39
12:12:10 PM     all   2524.89
12:12:15 PM     all   2525.20
12:12:20 PM     all   3003.12
12:12:25 PM     all   2764.48
12:12:30 PM     all   2660.37
12:12:35 PM     all   2546.78
12:12:40 PM     all   2567.48
12:12:45 PM     all   3068.94
12:12:50 PM     all   3040.58
12:12:55 PM     all   2697.16
12:13:00 PM     all   3074.22
12:13:05 PM     all   2557.26
12:13:10 PM     all   2880.27
Average:        all   2738.09
