Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

03:00:13 PM     CPU       MHz
03:00:18 PM     all   2490.83
03:00:23 PM     all   2499.99
03:00:28 PM     all   2499.99
03:00:33 PM     all   2499.99
03:00:38 PM     all   2499.99
03:00:43 PM     all   2499.99
03:00:48 PM     all   2499.94
03:00:53 PM     all   2499.84
03:00:58 PM     all   2498.63
03:01:03 PM     all   2499.30
03:01:08 PM     all   2521.86
03:01:13 PM     all   2499.99
03:01:18 PM     all   2364.14
Average:        all   2490.34
