Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

03:30:34 PM     CPU       MHz
03:30:39 PM     all   2543.97
03:30:44 PM     all   2499.99
03:30:49 PM     all   2499.99
03:30:54 PM     all   2499.99
03:30:59 PM     all   2499.99
03:31:04 PM     all   2499.99
03:31:09 PM     all   2499.99
03:31:14 PM     all   2499.99
03:31:19 PM     all   2499.99
03:31:24 PM     all   2499.99
03:31:29 PM     all   2499.99
03:31:34 PM     all   2499.99
03:31:39 PM     all   2499.99
03:31:44 PM     all   2499.99
03:31:49 PM     all   2499.99
03:31:54 PM     all   2499.99
03:31:59 PM     all   2499.99
03:32:04 PM     all   2499.99
03:32:09 PM     all   2499.99
03:32:14 PM     all   2499.99
03:32:19 PM     all   2499.99
03:32:24 PM     all   2499.99
03:32:29 PM     all   2499.99
03:32:34 PM     all   2499.99
03:32:39 PM     all   2521.86
Average:        all   2502.62
