Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:22:58 PM     CPU       MHz
04:23:03 PM     all    799.99
04:23:08 PM     all    799.99
04:23:13 PM     all    799.99
04:23:18 PM     all    799.99
04:23:23 PM     all    799.99
04:23:28 PM     all    799.99
04:23:33 PM     all    799.99
04:23:38 PM     all    799.99
04:23:43 PM     all    799.99
04:23:48 PM     all    799.99
04:23:53 PM     all    799.99
04:23:58 PM     all    799.99
04:24:03 PM     all    799.99
Average:        all    799.99
