Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

04:04:35 PM     CPU       MHz
04:04:40 PM     all   2493.95
04:04:45 PM     all   2499.99
04:04:50 PM     all   2499.99
04:04:55 PM     all   2499.99
04:05:00 PM     all   2499.99
04:05:05 PM     all   2521.87
04:05:10 PM     all   2499.14
04:05:15 PM     all   2499.99
04:05:20 PM     all   2499.99
04:05:25 PM     all   2499.99
04:05:30 PM     all   2499.99
04:05:35 PM     all   2499.99
04:05:40 PM     all   2499.99
04:05:45 PM     all   2499.99
04:05:50 PM     all   2499.99
04:05:55 PM     all   2499.99
04:06:00 PM     all   2499.99
04:06:05 PM     all   2499.99
04:06:10 PM     all   2499.99
04:06:15 PM     all   2499.99
04:06:20 PM     all   2499.99
04:06:25 PM     all   2499.99
04:06:30 PM     all   2499.90
04:06:35 PM     all   2499.99
04:06:40 PM     all   2454.82
Average:        all   2498.78
