Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:05:24 PM     CPU       MHz
12:05:29 PM     all   2605.53
12:05:34 PM     all   2499.99
12:05:39 PM     all   2499.99
12:05:44 PM     all   2499.99
12:05:49 PM     all   2499.99
12:05:54 PM     all   2498.99
12:05:59 PM     all   2499.99
12:06:04 PM     all   2499.99
12:06:09 PM     all   2499.99
12:06:14 PM     all   2499.99
12:06:19 PM     all   2499.99
12:06:24 PM     all   2499.99
12:06:29 PM     all   2499.99
12:06:34 PM     all   2499.99
12:06:39 PM     all   2499.99
12:06:44 PM     all   2499.99
12:06:49 PM     all   2499.99
12:06:54 PM     all   2499.99
12:06:59 PM     all   2499.99
12:07:04 PM     all   2499.99
12:07:09 PM     all   2499.99
12:07:14 PM     all   2499.99
12:07:19 PM     all   2499.99
12:07:24 PM     all   2499.99
12:07:29 PM     all   2565.61
Average:        all   2506.80
