Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

06:35:35 PM     CPU       MHz
06:35:40 PM     all   2491.98
06:35:45 PM     all   2450.68
06:35:50 PM     all   2499.99
06:35:55 PM     all   2499.99
06:36:00 PM     all   2499.99
06:36:05 PM     all   2521.86
06:36:10 PM     all   2499.99
06:36:15 PM     all   2499.73
06:36:20 PM     all   2499.78
06:36:25 PM     all   2499.99
06:36:30 PM     all   2499.99
06:36:35 PM     all   2499.99
06:36:40 PM     all   2499.99
06:36:45 PM     all   2499.99
06:36:50 PM     all   2499.99
06:36:55 PM     all   2468.21
06:37:00 PM     all   2521.87
06:37:05 PM     all   2494.01
06:37:10 PM     all   2496.83
06:37:15 PM     all   2503.12
06:37:20 PM     all   2499.99
06:37:25 PM     all   2499.89
06:37:30 PM     all   2549.99
06:37:35 PM     all   2499.99
06:37:40 PM     all   2279.68
Average:        all   2491.10
