Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:45:51 PM     CPU       MHz
05:45:56 PM     all    799.99
05:46:01 PM     all    799.99
05:46:06 PM     all    799.99
05:46:11 PM     all    799.99
05:46:16 PM     all    799.99
05:46:21 PM     all    799.99
05:46:26 PM     all    799.99
05:46:31 PM     all    799.99
05:46:36 PM     all    799.99
05:46:41 PM     all    799.99
05:46:46 PM     all    799.99
05:46:51 PM     all    799.99
05:46:56 PM     all    799.99
Average:        all    799.99
