Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:49:13 PM     CPU       MHz
05:49:18 PM     all    799.99
05:49:23 PM     all    799.99
05:49:28 PM     all    799.99
05:49:33 PM     all    799.99
05:49:38 PM     all    799.99
05:49:43 PM     all    799.99
05:49:48 PM     all    799.99
05:49:53 PM     all    799.99
05:49:58 PM     all    799.99
05:50:03 PM     all    799.99
05:50:08 PM     all    799.99
05:50:13 PM     all    799.99
05:50:18 PM     all    799.99
Average:        all    799.99
