Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

06:26:59 PM     CPU       MHz
06:27:04 PM     all    799.99
06:27:09 PM     all    799.99
06:27:14 PM     all    799.99
06:27:19 PM     all    799.99
06:27:24 PM     all    799.99
06:27:29 PM     all    799.99
06:27:34 PM     all    799.99
06:27:39 PM     all    799.99
06:27:44 PM     all    799.99
06:27:49 PM     all    799.99
06:27:54 PM     all    799.99
06:27:59 PM     all    799.99
06:28:04 PM     all    799.99
06:28:09 PM     all    799.99
06:28:14 PM     all    799.99
06:28:19 PM     all    799.99
06:28:24 PM     all    799.99
06:28:29 PM     all    799.99
06:28:34 PM     all    799.99
06:28:39 PM     all    799.99
06:28:44 PM     all    799.99
06:28:49 PM     all    799.99
06:28:54 PM     all    799.99
06:28:59 PM     all    799.99
06:29:04 PM     all    799.99
Average:        all    799.99
