Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

04:52:53 PM     CPU       MHz
04:52:58 PM     all   2499.99
04:53:03 PM     all   2499.99
04:53:08 PM     all   2499.99
04:53:13 PM     all   2499.99
04:53:18 PM     all   2521.87
04:53:23 PM     all   2499.99
04:53:28 PM     all   2499.99
04:53:33 PM     all   2499.99
04:53:38 PM     all   2499.99
04:53:43 PM     all   2499.99
04:53:48 PM     all   2499.99
04:53:53 PM     all   2499.98
04:53:58 PM     all   2499.99
04:54:03 PM     all   2499.99
04:54:08 PM     all   2499.99
04:54:13 PM     all   2499.99
04:54:18 PM     all   2499.99
04:54:23 PM     all   2499.99
04:54:28 PM     all   2499.99
04:54:33 PM     all   2499.99
04:54:38 PM     all   2501.76
04:54:43 PM     all   2437.67
04:54:48 PM     all   2521.87
04:54:53 PM     all   2499.99
04:54:58 PM     all   2405.41
Average:        all   2495.53
