Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:23:08 PM     CPU       MHz
05:23:13 PM     all   2499.99
05:23:18 PM     all   1030.73
05:23:23 PM     all   2262.57
05:23:28 PM     all   2319.21
05:23:33 PM     all   1016.96
05:23:38 PM     all   2097.54
05:23:43 PM     all   1265.49
05:23:48 PM     all   2304.07
05:23:53 PM     all   1064.82
05:23:58 PM     all   2615.62
05:24:03 PM     all   2293.69
05:24:08 PM     all   1086.92
05:24:13 PM     all   1002.18
Average:        all   1758.45
