Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:47:15 PM     CPU       MHz
04:47:20 PM     all    799.99
04:47:25 PM     all    799.99
04:47:30 PM     all    799.99
04:47:35 PM     all    799.99
04:47:40 PM     all    799.99
04:47:45 PM     all    799.99
04:47:50 PM     all    799.99
04:47:55 PM     all    799.99
04:48:00 PM     all    799.99
04:48:05 PM     all    799.99
04:48:10 PM     all    799.99
04:48:15 PM     all    799.99
04:48:20 PM     all    799.99
Average:        all    799.99
