Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

06:25:03 PM     CPU       MHz
06:25:08 PM     all   2460.33
06:25:13 PM     all   2499.99
06:25:18 PM     all   2499.99
06:25:23 PM     all   2499.99
06:25:28 PM     all   2499.99
06:25:33 PM     all   2499.99
06:25:38 PM     all   2499.99
06:25:43 PM     all   2499.99
06:25:48 PM     all   2499.99
06:25:53 PM     all   2499.99
06:25:58 PM     all   2499.99
06:26:03 PM     all   2521.86
06:26:08 PM     all   2251.00
Average:        all   2479.47
