Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:25:19 PM     CPU       MHz
12:25:24 PM     all    799.99
12:25:29 PM     all    799.99
12:25:34 PM     all    799.99
12:25:39 PM     all    799.99
12:25:44 PM     all    799.99
12:25:49 PM     all    799.99
12:25:54 PM     all    799.99
12:25:59 PM     all    799.99
12:26:04 PM     all    799.99
12:26:09 PM     all    799.99
12:26:14 PM     all    800.00
12:26:19 PM     all    800.00
12:26:24 PM     all    799.99
12:26:29 PM     all    800.00
12:26:34 PM     all    799.99
12:26:39 PM     all    799.99
12:26:44 PM     all    799.99
12:26:49 PM     all    799.99
12:26:54 PM     all    799.99
12:26:59 PM     all    799.99
12:27:04 PM     all    799.99
12:27:09 PM     all    800.00
12:27:14 PM     all    799.99
12:27:19 PM     all    799.99
12:27:24 PM     all    800.00
Average:        all    799.99
