__run_id,__done,governor_type,workload_type,execution_time (seconds),cpu_usage,energy,average_CPU_frequency
run_0_repetition_0,DONE,powersave,low,72.382,90.94,58456.317,1294.833
run_1_repetition_0,DONE,conservative,medium,67.691,85.12,116065.974,2620.583
run_2_repetition_0,DONE,performance,medium,67.212,87.25,120183.771,2570.333
run_3_repetition_0,DONE,userspace,high,68.948,95.2,129952.2,2504.5
run_4_repetition_0,DONE,performance,high,67.945,95.92,133095.123,2499.0
run_5_repetition_0,DONE,schedutil,low,66.355,60.23,118074.779,2698.417
run_6_repetition_0,DONE,performance,low,66.029,59.33,121055.521,2690.667
run_7_repetition_0,DONE,powersave,high,70.46,97.33,73075.881,799.0
run_8_repetition_0,DONE,userspace,medium,70.021,97.16,75088.834,799.0
run_9_repetition_0,DONE,ondemand,low,68.064,61.83,122592.077,2234.25
run_10_repetition_0,DONE,conservative,low,68.899,63.57,136682.991,2695.833
run_11_repetition_0,DONE,userspace,low,66.901,72.84,98056.92,1006.75
run_12_repetition_0,DONE,powersave,medium,70.022,97.61,82992.913,799.0
run_13_repetition_0,DONE,ondemand,high,67.938,95.69,169419.757,2499.0
run_14_repetition_0,DONE,schedutil,medium,67.157,84.29,166672.749,2557.5
run_15_repetition_0,DONE,ondemand,medium,67.94,89.75,174711.914,2453.25
run_16_repetition_0,DONE,conservative,high,68.071,95.9,181004.961,2504.417
run_17_repetition_0,DONE,conservative,high,67.953,96.0,184595.679,2500.833
