Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

01:40:55 PM     CPU       MHz
01:41:00 PM     all   2500.36
01:41:05 PM     all   2653.11
01:41:10 PM     all   2871.81
01:41:15 PM     all   2894.53
01:41:20 PM     all   3013.87
01:41:25 PM     all   3147.42
01:41:30 PM     all   2157.27
01:41:35 PM     all   3046.87
01:41:40 PM     all   2961.00
01:41:45 PM     all   2674.40
01:41:50 PM     all   2828.49
01:41:55 PM     all   2743.70
01:42:00 PM     all   2440.49
Average:        all   2764.10
