Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:19:29 PM     CPU       MHz
12:19:34 PM     all    799.99
12:19:39 PM     all    799.99
12:19:44 PM     all    799.99
12:19:50 PM     all    799.99
12:19:55 PM     all    799.99
12:20:00 PM     all    799.99
12:20:05 PM     all    799.99
12:20:10 PM     all    799.99
12:20:15 PM     all    799.99
12:20:20 PM     all    799.99
12:20:25 PM     all    799.99
12:20:30 PM     all    799.99
12:20:35 PM     all    799.99
12:20:40 PM     all    799.99
12:20:45 PM     all    799.99
12:20:50 PM     all    799.99
12:20:55 PM     all    799.99
12:21:00 PM     all    799.99
12:21:05 PM     all    799.99
12:21:10 PM     all    799.99
12:21:15 PM     all    799.99
12:21:20 PM     all    799.99
12:21:25 PM     all    799.99
12:21:30 PM     all    799.99
12:21:35 PM     all    799.99
Average:        all    799.99
