Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

05:38:20 PM     CPU       MHz
05:38:25 PM     all    799.99
05:38:30 PM     all    799.99
05:38:35 PM     all    799.99
05:38:40 PM     all    799.99
05:38:45 PM     all    799.99
05:38:50 PM     all    799.99
05:38:55 PM     all    799.99
05:39:00 PM     all    799.99
05:39:05 PM     all    799.99
05:39:10 PM     all    799.99
05:39:15 PM     all    799.99
05:39:20 PM     all    799.99
05:39:25 PM     all    799.99
05:39:30 PM     all    799.99
05:39:35 PM     all    799.99
05:39:40 PM     all    799.99
05:39:45 PM     all    799.99
05:39:50 PM     all    799.99
05:39:55 PM     all    799.99
05:40:00 PM     all    799.99
05:40:05 PM     all    799.99
05:40:10 PM     all    799.99
05:40:15 PM     all    799.99
05:40:20 PM     all    799.99
05:40:25 PM     all    799.99
Average:        all    799.99
