Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:08:18 PM     CPU       MHz
04:08:23 PM     all   2532.48
04:08:28 PM     all   2499.99
04:08:33 PM     all   2499.99
04:08:38 PM     all   2499.99
04:08:43 PM     all   2521.86
04:08:48 PM     all   2499.99
04:08:53 PM     all   2499.99
04:08:58 PM     all   2499.99
04:09:03 PM     all   2499.99
04:09:08 PM     all   2499.99
04:09:13 PM     all   2499.99
04:09:18 PM     all   2499.99
04:09:23 PM     all   2674.99
Average:        all   2517.63
