Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

01:53:39 PM     CPU       MHz
01:53:44 PM     all   2544.11
01:53:49 PM     all   2499.99
01:53:54 PM     all   2499.99
01:53:59 PM     all   2499.99
01:54:04 PM     all   2499.99
01:54:09 PM     all   2499.99
01:54:14 PM     all   2543.74
01:54:19 PM     all   2499.99
01:54:24 PM     all   2499.99
01:54:29 PM     all   2499.99
01:54:34 PM     all   2499.99
01:54:39 PM     all   2499.99
01:54:44 PM     all   2499.99
01:54:49 PM     all   2499.99
01:54:54 PM     all   2499.99
01:54:59 PM     all   2499.99
01:55:04 PM     all   2499.99
01:55:09 PM     all   2499.99
01:55:14 PM     all   2499.99
01:55:19 PM     all   2499.99
01:55:24 PM     all   2499.99
01:55:29 PM     all   2499.99
01:55:34 PM     all   2499.99
01:55:39 PM     all   2499.99
01:55:44 PM     all   2499.99
Average:        all   2503.50
