Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

04:01:45 PM     CPU       MHz
04:01:50 PM     all   2490.23
04:01:55 PM     all   2499.99
04:02:00 PM     all   2467.46
04:02:05 PM     all   2499.99
04:02:10 PM     all   2499.99
04:02:15 PM     all   2499.99
04:02:20 PM     all   2499.99
04:02:25 PM     all   2499.99
04:02:30 PM     all   2499.99
04:02:35 PM     all   2499.99
04:02:40 PM     all   2499.99
04:02:45 PM     all   2499.99
04:02:50 PM     all   2499.99
04:02:55 PM     all   2499.99
04:03:00 PM     all   2499.99
04:03:05 PM     all   2499.99
04:03:10 PM     all   2499.99
04:03:15 PM     all   2499.99
04:03:20 PM     all   2499.99
04:03:25 PM     all   2499.99
04:03:30 PM     all   2499.99
04:03:35 PM     all   2499.99
04:03:40 PM     all   2499.99
04:03:45 PM     all   2499.45
04:03:50 PM     all   2105.29
Average:        all   2482.49
