Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

04:24:33 PM     CPU       MHz
04:24:38 PM     all   2543.76
04:24:43 PM     all   2587.90
04:24:48 PM     all   2589.66
04:24:53 PM     all   2899.59
04:24:58 PM     all   2501.41
04:25:03 PM     all   2667.89
04:25:08 PM     all   2988.11
04:25:13 PM     all   3045.19
04:25:18 PM     all   2502.27
04:25:23 PM     all   3145.29
04:25:28 PM     all   2984.29
04:25:33 PM     all   2631.24
04:25:38 PM     all   3052.32
04:25:43 PM     all   3121.81
04:25:48 PM     all   2558.86
04:25:53 PM     all   2660.07
04:25:58 PM     all   3107.34
04:26:03 PM     all   3143.82
04:26:08 PM     all   2499.99
04:26:13 PM     all   3142.56
04:26:18 PM     all   3127.03
04:26:23 PM     all   3113.19
04:26:28 PM     all   2522.85
04:26:33 PM     all   2521.86
04:26:38 PM     all   2887.14
Average:        all   2821.82
