Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

03:16:14 PM     CPU       MHz
03:16:19 PM     all    799.99
03:16:24 PM     all    799.99
03:16:29 PM     all    799.99
03:16:34 PM     all    800.00
03:16:39 PM     all    799.99
03:16:44 PM     all    799.99
03:16:49 PM     all    799.99
03:16:54 PM     all    799.99
03:16:59 PM     all    799.99
03:17:04 PM     all    800.00
03:17:09 PM     all    800.00
03:17:14 PM     all    799.99
03:17:19 PM     all    800.00
Average:        all    799.99
