Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

02:33:33 PM     CPU       MHz
02:33:38 PM     all   2542.97
02:33:43 PM     all   3116.43
02:33:48 PM     all   2565.61
02:33:53 PM     all   2569.88
02:33:58 PM     all   1338.62
02:34:03 PM     all   2590.64
02:34:08 PM     all   2909.48
02:34:13 PM     all   2718.49
02:34:18 PM     all   2543.74
02:34:23 PM     all   2140.64
02:34:28 PM     all   2784.27
02:34:33 PM     all   2632.15
02:34:38 PM     all   3044.14
02:34:43 PM     all   1940.20
02:34:48 PM     all   2631.49
02:34:53 PM     all   2524.16
02:34:58 PM     all   2569.52
02:35:03 PM     all   3102.51
02:35:08 PM     all   3050.12
02:35:13 PM     all   2543.74
02:35:18 PM     all   2675.69
02:35:23 PM     all   2528.76
02:35:28 PM     all   2522.53
02:35:33 PM     all   2631.24
02:35:38 PM     all   1897.86
Average:        all   2564.60
