Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

04:38:32 PM     CPU       MHz
04:38:37 PM     all    799.99
04:38:42 PM     all    799.99
04:38:47 PM     all    799.99
04:38:52 PM     all    799.99
04:38:57 PM     all    799.99
04:39:02 PM     all    799.99
04:39:07 PM     all    799.99
04:39:12 PM     all    799.99
04:39:17 PM     all    799.99
04:39:22 PM     all    799.99
04:39:27 PM     all    799.99
04:39:32 PM     all    799.99
04:39:37 PM     all    799.99
04:39:42 PM     all    799.99
04:39:47 PM     all    799.99
04:39:52 PM     all    799.99
04:39:57 PM     all    799.99
04:40:02 PM     all    799.99
04:40:07 PM     all    799.99
04:40:12 PM     all    799.99
04:40:17 PM     all    799.99
04:40:22 PM     all    799.99
04:40:27 PM     all    799.99
04:40:32 PM     all    799.99
04:40:37 PM     all    799.99
Average:        all    799.99
