Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

05:52:32 PM     CPU       MHz
05:52:37 PM     all   2166.60
05:52:42 PM     all   2521.87
05:52:47 PM     all   2521.87
05:52:52 PM     all   2499.99
05:52:57 PM     all   2499.99
05:53:02 PM     all   2499.99
05:53:07 PM     all   2499.99
05:53:12 PM     all   2499.99
05:53:17 PM     all   2499.99
05:53:22 PM     all   2521.86
05:53:27 PM     all   2521.86
05:53:32 PM     all   2521.86
05:53:37 PM     all   2543.74
05:53:42 PM     all   2540.61
05:53:47 PM     all   2565.61
05:53:52 PM     all   2549.99
05:53:57 PM     all   2587.49
05:54:02 PM     all   2565.62
05:54:07 PM     all   2553.12
05:54:12 PM     all   2521.86
05:54:17 PM     all   2543.73
05:54:22 PM     all   2587.48
05:54:27 PM     all   2565.61
05:54:32 PM     all   2537.52
05:54:37 PM     all   2562.49
Average:        all   2520.03
