Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

04:42:15 PM     CPU       MHz
04:42:20 PM     all   2499.99
04:42:25 PM     all   2499.99
04:42:30 PM     all   2499.99
04:42:35 PM     all   2499.99
04:42:40 PM     all   2499.99
04:42:45 PM     all   2674.99
04:42:50 PM     all   2499.99
04:42:55 PM     all   2499.99
04:43:00 PM     all   2499.99
04:43:05 PM     all   2499.99
04:43:10 PM     all   2499.99
04:43:15 PM     all   2499.99
04:43:20 PM     all   2784.35
Average:        all   2535.33
