Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

05:26:50 PM     CPU       MHz
05:26:55 PM     all    799.99
05:27:00 PM     all    799.99
05:27:05 PM     all    799.99
05:27:10 PM     all    799.99
05:27:15 PM     all    799.99
05:27:20 PM     all    799.99
05:27:25 PM     all    799.99
05:27:30 PM     all    799.99
05:27:35 PM     all    799.99
05:27:40 PM     all    799.99
05:27:45 PM     all    799.99
05:27:50 PM     all    799.99
05:27:55 PM     all    799.99
05:28:00 PM     all    799.99
05:28:05 PM     all    799.99
05:28:10 PM     all    799.99
05:28:16 PM     all    799.99
05:28:21 PM     all    799.99
05:28:26 PM     all    799.99
05:28:31 PM     all    799.99
05:28:36 PM     all    799.99
05:28:41 PM     all    799.99
05:28:46 PM     all    799.99
05:28:51 PM     all    799.99
05:28:56 PM     all    799.99
Average:        all    799.99
