Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

02:32:37 PM     CPU       MHz
02:32:42 PM     all   2340.26
02:32:47 PM     all   1533.22
02:32:52 PM     all   1904.48
02:32:57 PM     all   1684.53
02:33:02 PM     all   1309.13
02:33:07 PM     all    954.90
02:33:12 PM     all   2012.38
02:33:17 PM     all   1162.99
02:33:22 PM     all    859.37
02:33:27 PM     all   1470.22
02:33:32 PM     all    966.92
02:33:37 PM     all   2100.93
02:33:42 PM     all    821.68
Average:        all   1470.85
