Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

02:11:23 PM     CPU       MHz
02:11:28 PM     all   2499.99
02:11:33 PM     all   2499.99
02:11:38 PM     all   2521.87
02:11:43 PM     all   2499.99
02:11:48 PM     all   2499.99
02:11:53 PM     all   2499.99
02:11:58 PM     all   2499.99
02:12:03 PM     all   2499.99
02:12:08 PM     all   2499.99
02:12:13 PM     all   2499.99
02:12:18 PM     all   2499.99
02:12:23 PM     all   2499.99
02:12:28 PM     all   2653.13
Average:        all   2513.45
