Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

02:39:10 PM     CPU       MHz
02:39:15 PM     all   2542.86
02:39:20 PM     all   2499.99
02:39:25 PM     all   2499.99
02:39:30 PM     all   2499.99
02:39:35 PM     all   2499.99
02:39:40 PM     all   2499.99
02:39:45 PM     all   2499.99
02:39:50 PM     all   2499.99
02:39:55 PM     all   2499.99
02:40:00 PM     all   2499.99
02:40:05 PM     all   2499.99
02:40:10 PM     all   2499.99
02:40:15 PM     all   2499.99
02:40:20 PM     all   2499.99
02:40:25 PM     all   2499.99
02:40:30 PM     all   2499.99
02:40:35 PM     all   2499.99
02:40:40 PM     all   2499.99
02:40:45 PM     all   2499.99
02:40:50 PM     all   2499.99
02:40:55 PM     all   2499.99
02:41:00 PM     all   2499.99
02:41:05 PM     all   2543.74
02:41:10 PM     all   2499.99
02:41:15 PM     all   2674.99
Average:        all   2510.45
