Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:48:10 PM     CPU       MHz
12:48:15 PM     all   2499.99
12:48:20 PM     all   2499.99
12:48:25 PM     all   2499.99
12:48:30 PM     all   2499.99
12:48:35 PM     all   2499.99
12:48:40 PM     all   2521.86
12:48:45 PM     all   2499.99
12:48:50 PM     all   2499.99
12:48:55 PM     all   2499.99
12:49:00 PM     all   2499.99
12:49:05 PM     all   2499.99
12:49:10 PM     all   2521.87
12:49:15 PM     all   2499.99
12:49:20 PM     all   2499.99
12:49:25 PM     all   2499.99
12:49:30 PM     all   2499.99
12:49:35 PM     all   2499.99
12:49:40 PM     all   2499.99
12:49:45 PM     all   2521.87
12:49:50 PM     all   2499.99
12:49:55 PM     all   2499.99
12:50:00 PM     all   2499.99
12:50:05 PM     all   2499.99
12:50:10 PM     all   2499.99
12:50:15 PM     all   2090.92
Average:        all   2486.25
