Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

06:52:40 PM     CPU       MHz
06:52:45 PM     all   2521.87
06:52:50 PM     all   2499.99
06:52:55 PM     all   2587.49
06:53:00 PM     all   2499.99
06:53:05 PM     all   2499.99
06:53:10 PM     all   2499.99
06:53:15 PM     all   2521.87
06:53:20 PM     all   2565.61
06:53:25 PM     all   2499.99
06:53:30 PM     all   2521.86
06:53:35 PM     all   2521.86
06:53:40 PM     all   2565.59
06:53:45 PM     all   2499.99
06:53:50 PM     all   2499.99
06:53:55 PM     all   2631.24
06:54:00 PM     all   2543.74
06:54:05 PM     all   2729.82
06:54:10 PM     all   2902.99
06:54:15 PM     all   2795.14
06:54:20 PM     all   2674.95
06:54:25 PM     all   3122.97
06:54:30 PM     all   2587.49
06:54:35 PM     all   2676.49
06:54:40 PM     all   3094.15
06:54:45 PM     all   2500.67
Average:        all   2622.63
