Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

01:47:12 PM     CPU       MHz
01:47:17 PM     all   2677.71
01:47:22 PM     all   2521.87
01:47:27 PM     all   2499.99
01:47:32 PM     all   2587.49
01:47:37 PM     all   2499.99
01:47:42 PM     all   2499.99
01:47:47 PM     all   2499.99
01:47:52 PM     all   2499.99
01:47:57 PM     all   2499.99
01:48:02 PM     all   2499.99
01:48:07 PM     all   2499.99
01:48:12 PM     all   2499.99
01:48:17 PM     all   3117.01
Average:        all   2569.54
