Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

05:05:08 PM     CPU       MHz
05:05:13 PM     all   2506.54
05:05:18 PM     all   2499.99
05:05:23 PM     all   2499.99
05:05:28 PM     all   2543.74
05:05:33 PM     all   2806.25
05:05:38 PM     all   2610.01
05:05:43 PM     all   2697.93
05:05:48 PM     all   2904.93
05:05:53 PM     all   2524.07
05:05:58 PM     all   3053.18
05:06:03 PM     all   2587.49
05:06:08 PM     all   3046.87
05:06:13 PM     all   2961.97
Average:        all   2711.00
