Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

12:02:37 PM     CPU       MHz
12:02:42 PM     all   2543.74
12:02:47 PM     all   2521.86
12:02:52 PM     all   2543.74
12:02:57 PM     all   2587.49
12:03:02 PM     all   2521.86
12:03:07 PM     all   2499.99
12:03:12 PM     all   2499.99
12:03:17 PM     all   2499.98
12:03:22 PM     all   2499.99
12:03:27 PM     all   2499.99
12:03:32 PM     all   2521.87
12:03:37 PM     all   2499.99
12:03:42 PM     all   2499.99
12:03:47 PM     all   2499.99
12:03:52 PM     all   2499.99
12:03:57 PM     all   2499.99
12:04:02 PM     all   2521.87
12:04:07 PM     all   2499.99
12:04:12 PM     all   2499.99
12:04:17 PM     all   2499.99
12:04:22 PM     all   2499.99
12:04:27 PM     all   2499.99
12:04:32 PM     all   2499.99
12:04:37 PM     all   2499.99
12:04:42 PM     all   2587.49
Average:        all   2513.99
