Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

03:50:29 PM     CPU       MHz
03:50:34 PM     all    799.99
03:50:39 PM     all    799.99
03:50:44 PM     all    799.99
03:50:49 PM     all    799.99
03:50:54 PM     all    800.00
03:50:59 PM     all    799.99
03:51:04 PM     all    799.99
03:51:09 PM     all    799.99
03:51:14 PM     all    799.99
03:51:19 PM     all    799.99
03:51:24 PM     all    799.99
03:51:29 PM     all    799.99
03:51:34 PM     all    800.00
Average:        all    799.99
