Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

02:50:32 PM     CPU       MHz
02:50:37 PM     all    799.99
02:50:42 PM     all    799.99
02:50:47 PM     all    799.99
02:50:52 PM     all    799.99
02:50:57 PM     all    799.99
02:51:02 PM     all    799.99
02:51:07 PM     all    799.99
02:51:12 PM     all    799.99
02:51:17 PM     all    799.99
02:51:22 PM     all    799.99
02:51:27 PM     all    799.99
02:51:32 PM     all    799.99
02:51:37 PM     all    799.99
02:51:42 PM     all    799.99
02:51:47 PM     all    799.99
02:51:52 PM     all    799.99
02:51:57 PM     all    799.99
02:52:02 PM     all    799.99
02:52:07 PM     all    799.99
02:52:12 PM     all    799.99
02:52:17 PM     all    799.99
02:52:22 PM     all    799.99
02:52:27 PM     all    799.99
02:52:32 PM     all    799.99
02:52:37 PM     all    799.99
Average:        all    799.99
